Months, Deer, Height (cm), Precip (cm), Temp (C), Worm Monsters
0,1,7.025469,25.124031,8.151044,0
1,2,25.317776,31.23288,3.331269,2
2,0,21.236521,31.767717,14.175068,1
3,0,21.236607,34.24958,23.984303,0
4,1,21.238308,26.02644,21.57135,0
5,2,18.698311,19.118515,26.943792,0
6,3,13.618355,14.280616,24.459343,0
7,4,6.000681,9.902847,20.943853,0
8,3,0,0.608584,16.763756,0
9,2,0,6.707114,17.838461,0
10,1,10.758827,10.278106,3.823749,2
11,0,25.998816,18.534859,2.098821,4
12,0,34.662167,20.345791,9.804022,3
13,0,36.599785,32.913761,13.015896,2
14,0,36.746788,36.690979,16.678131,1
15,0,36.747353,32.962292,22.464828,0
16,1,36.747353,24.079014,28.670706,0
17,2,34.208992,25.726509,21.605881,0
18,3,29.128994,14.843539,26.389566,0
19,4,21.521276,11.101936,19.364197,0
20,5,11.371198,4.371798,19.202881,0
21,4,0,4.380106,13.99924,0
22,3,0,8.236949,13.069108,0
23,2,9.592722,16.357115,2.243222,2
24,0,21.113688,26.45801,7.578254,1
25,0,24.294085,31.23427,12.141692,0
26,1,25.913916,32.294212,13.356559,0
27,2,23.379423,31.950247,20.415607,0
28,3,18.299423,27.379044,28.377287,0
29,4,10.679667,26.588711,23.242212,0
30,4,0.519671,11.318362,26.069828,0
31,3,0,5.270564,18.690075,0
32,2,0,2.315969,19.494913,0
33,1,0,1.381499,17.913162,0
34,0,6.504484,6.026602,7.709832,0
35,1,21.333733,8.860858,4.965441,2
36,0,37.852165,23.611713,6.781229,4
37,0,48.397144,29.322828,9.255333,3
38,0,51.152363,33.549419,12.326586,2
39,0,51.204807,34.469692,17.995771,1
40,0,51.207863,29.653954,21.010746,0
41,1,51.207863,21.134567,31.065081,0
42,2,48.667862,14.149517,30.409691,0
43,3,43.587864,6.874546,27.429827,0
44,4,36.210766,1.141564,15.032637,0
45,5,26.246712,8.018845,15.952681,0
46,6,26.340889,8.970417,6.680542,2
47,3,25.986578,16.023201,1.438764,4
48,0,40.269665,20.657486,3.950674,6
49,0,55.021591,32.501881,7.777025,5
50,0,56.810116,29.835991,13.259233,4
51,0,56.835735,29.786171,18.89311,3
52,0,56.835743,31.136108,26.558634,2
53,0,56.835743,24.308287,28.719927,1
54,0,56.836773,16.469166,21.910053,0
55,1,56.836792,9.399645,25.001238,0
56,2,54.321922,1.949902,18.008169,0
57,3,50.19833,2.504965,12.981716,0
58,4,45.529263,3.140408,10.728018,0
59,5,41.100494,9.507076,9.977595,0
60,6,48.949406,18.962234,5.587607,2
61,3,48.545498,27.349659,8.07233,1
62,2,41.516247,30.02256,15.018451,0
63,3,36.438297,33.166466,21.317343,0
64,4,28.818308,32.819916,25.669619,0
65,5,18.658308,25.325464,30.834105,0
66,6,5.959446,18.849283,21.87319,0
67,5,0,5.043373,19.331776,0
68,4,0,4.739652,18.650063,0
69,3,0,1.469632,12.172623,0
70,2,0,10.648778,10.08199,0
71,1,5.682369,13.692547,0.358626,2
