1000,658.737305,233.62529,2.819632,,Array Size,SIMD,NonSIMD,Speedup,,Array Size,Speedup
2000,666.506409,234.492645,2.842334,,1000,658.737305,233.62529,2.819632,,1000,2.819632
4000,669.832703,235.62471,2.842795,,2000,666.506409,234.492645,2.842334,,2000,2.842334
8000,672.665222,236.078018,2.849334,,4000,669.832703,235.62471,2.842795,,4000,2.842795
16000,351.427185,123.262749,2.851041,,8000,672.665222,236.078018,2.849334,,8000,2.849334
32000,351.154236,123.241531,2.849317,,16000,351.427185,123.262749,2.851041,,16000,2.851041
64000,671.902283,236.006668,2.846963,,32000,351.154236,123.241531,2.849317,,32000,2.849317
128000,672.25061,236.033417,2.848116,,64000,671.902283,236.006668,2.846963,,64000,2.846963
256000,670.005798,227.10051,2.950261,,128000,672.25061,236.033417,2.848116,,128000,2.848116
512000,651.525391,226.814911,2.872498,,256000,670.005798,227.10051,2.950261,,256000,2.950261
1024000,635.669006,223.689026,2.841753,,512000,651.525391,226.814911,2.872498,,512000,2.872498
2048000,624.910339,227.804504,2.743187,,1024000,635.669006,223.689026,2.841753,,1024000,2.841753
4096000,618.533325,228.657333,2.705067,,2048000,624.910339,227.804504,2.743187,,2048000,2.743187
8000000,625.544067,229.547241,2.725121,,4096000,618.533325,228.657333,2.705067,,4096000,2.705067
,,,,,8000000,625.544067,229.547241,2.725121,,8000000,2.725121
